instance,portfolio,backend_scope,raw_min_primal,raw_min_primal_source,excluded_primal_candidates,selected_primal,primal_source,selected_dual,dual_source,portfolio_gap_fraction,portfolio_gap_state,primal_evidence_note,gurobi_baseline_primal,gurobi_baseline_dual,gurobi_baseline_gap_fraction,original_copt_primal,original_copt_dual,original_copt_gap_fraction,original_copt_gap_state,original_copt_time_seconds,original_copt_result,gurobi_minus_portfolio_gap_pp,portfolio_vs_gurobi,copt_minus_portfolio_gap_pp,portfolio_vs_copt
cmflsp60-36-2-6,three_skills,all_available,73891244.22159792,general skill,[],73891244.22159792,general skill,73054818.85442139,dual skill Gurobi,0.0113196817293820641821503464189746501801454173291784101282975964873770358690664701172100700,available,historically accepted numerical witness; not uniformly revalidated,73891245.64760005,73188341.59842,0.00951268371536621896538149857548067099754224858382193912153575208803818193885986052184203126,74492812.1,72075510.1,0.0324501375616614693486648492358365405297942833332774666456711734205024057616426055152239312,available,36000.0,stop,-0.180699801401584521676884784349397918260316874535647100676184439933885393020660959536803872,loss,2.11304558322794051665145028168618903496488660040990565173735769331253698925761353980138613,win
cmflsp60-36-2-6,three_skills,gurobi_only,73891244.22159792,general skill,[],73891244.22159792,general skill,73054818.85442139,dual skill Gurobi,0.0113196817293820641821503464189746501801454173291784101282975964873770358690664701172100700,available,historically accepted numerical witness; not uniformly revalidated,73891245.64760005,73188341.59842,0.00951268371536621896538149857548067099754224858382193912153575208803818193885986052184203126,74492812.1,72075510.1,0.0324501375616614693486648492358365405297942833332774666456711734205024057616426055152239312,available,36000.0,stop,-0.180699801401584521676884784349397918260316874535647100676184439933885393020660959536803872,loss,2.11304558322794051665145028168618903496488660040990565173735769331253698925761353980138613,win
cmflsp60-36-2-6,primal_dual,all_available,73891245.26398355,primal skill,[],73891245.26398355,primal skill,73054818.85442139,dual skill Gurobi,0.0113196956767198407651656712426059375132192367875546547433424138655145237059174392792103905,available,historically accepted numerical witness; not uniformly revalidated,73891245.64760005,73188341.59842,0.00951268371536621896538149857548067099754224858382193912153575208803818193885986052184203126,74492812.1,72075510.1,0.0324501375616614693486648492358365405297942833332774666456711734205024057616426055152239312,available,36000.0,stop,-0.180701196135362179978417266712526651567698820373271562180666177747634176705757875736835926,loss,2.11304418849416285834991779932306030165750465457228119023287595549878820557251662360135407,win
cmflsp60-36-2-6,primal_dual,gurobi_only,73891245.26398355,primal skill,[],73891245.26398355,primal skill,73054818.85442139,dual skill Gurobi,0.0113196956767198407651656712426059375132192367875546547433424138655145237059174392792103905,available,historically accepted numerical witness; not uniformly revalidated,73891245.64760005,73188341.59842,0.00951268371536621896538149857548067099754224858382193912153575208803818193885986052184203126,74492812.1,72075510.1,0.0324501375616614693486648492358365405297942833332774666456711734205024057616426055152239312,available,36000.0,stop,-0.180701196135362179978417266712526651567698820373271562180666177747634176705757875736835926,loss,2.11304418849416285834991779932306030165750465457228119023287595549878820557251662360135407,win
r4l4-02-tree-bounds-50,three_skills,all_available,499061405.0,primal skill,[],499061405.0,primal skill,483755247.8932753,dual skill Gurobi,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,available,historically accepted numerical witness; not uniformly revalidated,499110528,480648435.4129,0.0369899882919320026845837241085004722641314430458176991209450104005820530397627677370892886,512613056,478217938,0.0670976238264208393474863035872422258398350275339065885984768987233910796060566978613982083,available,36000.0,stop,0.632010087251775244818245400828104135061489892435833682062847921139903056179735584554059230,win,3.64277364070065891110850334870227949263184834124472262981603675342080571280912859698495120,win
r4l4-02-tree-bounds-50,three_skills,gurobi_only,499061405.0,primal skill,[],499061405.0,primal skill,483755247.8932753,dual skill Gurobi,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,available,historically accepted numerical witness; not uniformly revalidated,499110528,480648435.4129,0.0369899882919320026845837241085004722641314430458176991209450104005820530397627677370892886,512613056,478217938,0.0670976238264208393474863035872422258398350275339065885984768987233910796060566978613982083,available,36000.0,stop,0.632010087251775244818245400828104135061489892435833682062847921139903056179735584554059230,win,3.64277364070065891110850334870227949263184834124472262981603675342080571280912859698495120,win
r4l4-02-tree-bounds-50,primal_dual,all_available,499061405.0,primal skill,[],499061405.0,primal skill,483755247.8932753,dual skill Gurobi,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,available,historically accepted numerical witness; not uniformly revalidated,499110528,480648435.4129,0.0369899882919320026845837241085004722641314430458176991209450104005820530397627677370892886,512613056,478217938,0.0670976238264208393474863035872422258398350275339065885984768987233910796060566978613982083,available,36000.0,stop,0.632010087251775244818245400828104135061489892435833682062847921139903056179735584554059230,win,3.64277364070065891110850334870227949263184834124472262981603675342080571280912859698495120,win
r4l4-02-tree-bounds-50,primal_dual,gurobi_only,499061405.0,primal skill,[],499061405.0,primal skill,483755247.8932753,dual skill Gurobi,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,available,historically accepted numerical witness; not uniformly revalidated,499110528,480648435.4129,0.0369899882919320026845837241085004722641314430458176991209450104005820530397627677370892886,512613056,478217938,0.0670976238264208393474863035872422258398350275339065885984768987233910796060566978613982083,available,36000.0,stop,0.632010087251775244818245400828104135061489892435833682062847921139903056179735584554059230,win,3.64277364070065891110850334870227949263184834124472262981603675342080571280912859698495120,win
sct1,three_skills,all_available,-187.52765083903063,primal skill,[],-187.52765083903063,primal skill; general skill,-199.81870652161473,dual skill Gurobi,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,available,historically accepted numerical witness; not uniformly revalidated,-187.52764944960393,-200.2450490980,0.0635091839008322746482408016213794201778482764014348684978442732295032234405390172859014172,-170.822429,-202.560756,0.156685468729194513867236948898433218722781623109660984875076196891761205709560049232833629,available,36000.0,stop,0.199814773938782269273711728047505220284027017955716258007629241451359737147616265413927513,win,9.51744325677500619117332645575288507477736168877832789573082160767715796404971946010714874,win
sct1,three_skills,gurobi_only,-187.52765083903063,primal skill,[],-187.52765083903063,primal skill; general skill,-199.81870652161473,dual skill Gurobi,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,available,historically accepted numerical witness; not uniformly revalidated,-187.52764944960393,-200.2450490980,0.0635091839008322746482408016213794201778482764014348684978442732295032234405390172859014172,-170.822429,-202.560756,0.156685468729194513867236948898433218722781623109660984875076196891761205709560049232833629,available,36000.0,stop,0.199814773938782269273711728047505220284027017955716258007629241451359737147616265413927513,win,9.51744325677500619117332645575288507477736168877832789573082160767715796404971946010714874,win
