instance,portfolio,backend_scope,direct_gurobi_primal,direct_gurobi_dual,direct_gurobi_gap_fraction,portfolio_gap_fraction,gap_reduction_pp,verdict,direct_gurobi_runtime_seconds
eva1aprime6x6opt,primal_dual,all_available,-13.360636598750812,-146.8016705334812,0.908988524788594700656680218828801122241651493100705676432998445383572746540534252016751162,0.812820222625271190703449995214443264074927743667883474010352455632847841879113737173839813,9.61683021633235099532302236143578581667237494328222024226459897507249046614205148429113493,win,9000.027134180069
eva1aprime6x6opt,primal_dual,gurobi_only,-13.360636598750812,-146.8016705334812,0.908988524788594700656680218828801122241651493100705676432998445383572746540534252016751162,0.812820222625271190703449995214443264074927743667883474010352455632847841879113737173839813,9.61683021633235099532302236143578581667237494328222024226459897507249046614205148429113493,win,9000.027134180069
cmflsp60-36-2-6,three_skills,all_available,73891245.6476,73343236.85847329,0.00741642374984795532405042210541920960366170390915297946911749146735195117828744686790768525,0.0113196817293820641821503464189746501801454173291784101282975964873770358690664701172100700,-0.390325797953410885809992431355544057648371342002543065918010502002508469077902324930238475,loss,9000.042469978333
cmflsp60-36-2-6,three_skills,gurobi_only,73891245.6476,73343236.85847329,0.00741642374984795532405042210541920960366170390915297946911749146735195117828744686790768525,0.0113196817293820641821503464189746501801454173291784101282975964873770358690664701172100700,-0.390325797953410885809992431355544057648371342002543065918010502002508469077902324930238475,loss,9000.042469978333
cmflsp60-36-2-6,primal_dual,all_available,73891245.6476,73343236.85847329,0.00741642374984795532405042210541920960366170390915297946911749146735195117828744686790768525,0.0113196956767198407651656712426059375132192367875546547433424138655145237059174392792103905,-0.390327192687188544111524913718672790955753287840167527422492239816257252762999241130270525,loss,9000.042469978333
cmflsp60-36-2-6,primal_dual,gurobi_only,73891245.6476,73343236.85847329,0.00741642374984795532405042210541920960366170390915297946911749146735195117828744686790768525,0.0113196956767198407651656712426059375132192367875546547433424138655145237059174392792103905,-0.390327192687188544111524913718672790955753287840167527422492239816257252762999241130270525,loss,9000.042469978333
r4l4-02-tree-bounds-50,three_skills,all_available,502956319.0,479472583.1465966,0.0466914023470165408141536839901995544865596966483286195674579048285105649502735445302159530,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,1.60215149276022905777524138899801235730431525268692572671413736393275424723081326386672567,win,9000.011729001999
r4l4-02-tree-bounds-50,three_skills,gurobi_only,502956319.0,479472583.1465966,0.0466914023470165408141536839901995544865596966483286195674579048285105649502735445302159530,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,1.60215149276022905777524138899801235730431525268692572671413736393275424723081326386672567,win,9000.011729001999
r4l4-02-tree-bounds-50,primal_dual,all_available,502956319.0,479472583.1465966,0.0466914023470165408141536839901995544865596966483286195674579048285105649502735445302159530,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,1.60215149276022905777524138899801235730431525268692572671413736393275424723081326386672567,win,9000.011729001999
r4l4-02-tree-bounds-50,primal_dual,gurobi_only,502956319.0,479472583.1465966,0.0466914023470165408141536839901995544865596966483286195674579048285105649502735445302159530,0.0306698874194142502364012701002194309135165441214593623003165311891830224779654118915486963,1.60215149276022905777524138899801235730431525268692572671413736393275424723081326386672567,win,9000.011729001999
sct1,three_skills,all_available,-187.85043796133093,-200.01276368708199,0.0608077479734188338521423282042790608025889647273468091788459865896069523848312711804040444,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,-0.0703288188025618103361356136625307172419041494530896738921994225382673684231583451358097668,loss,9000.03909111023
sct1,three_skills,gurobi_only,-187.85043796133093,-200.01276368708199,0.0608077479734188338521423282042790608025889647273468091788459865896069523848312711804040444,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,-0.0703288188025618103361356136625307172419041494530896738921994225382673684231583451358097668,loss,9000.03909111023
sct1,primal_dual,all_available,-187.85043796133093,-200.01276368708199,0.0608077479734188338521423282042790608025889647273468091788459865896069523848312711804040444,0.0615110361614444519555036843409043679750080062218777059177679808149896260690628546317621421,-0.0703288188025618103361356136625307172419041494530896738921994225382673684231583451358097668,loss,9000.03909111023
